Block數量,1000
Thread數量,10
預期模擬次數,100000000
實際模擬次數,99779756
執行時間(ms),2657
元素個數,26
轉盤個數,3
排列組合總數,17576
排列組合,出現次數,出現機率
A-A-A,5664,0.0056765%
A-A-B,5627,0.00563942%
A-A-C,5658,0.00567049%
A-A-D,5734,0.00574666%
A-A-E,5786,0.00579877%
A-A-F,5560,0.00557227%
A-A-G,5702,0.00571459%
A-A-H,5797,0.0058098%
A-A-I,5725,0.00573764%
A-A-J,5458,0.00547005%
A-A-K,5665,0.0056775%
A-A-L,5719,0.00573162%
A-A-M,5732,0.00574465%
A-A-N,5641,0.00565345%
A-A-O,5688,0.00570056%
A-A-P,5661,0.0056735%
A-A-Q,5667,0.00567951%
A-A-R,5544,0.00555624%
A-A-S,5677,0.00568953%
A-A-T,5686,0.00569855%
A-A-U,5662,0.0056745%
A-A-V,5752,0.0057647%
A-A-W,5710,0.0057226%
A-A-X,5721,0.00573363%
A-A-Y,5709,0.0057216%
A-A-Z,5718,0.00573062%
A-B-A,5593,0.00560535%
A-B-B,5590,0.00560234%
A-B-C,5607,0.00561938%
A-B-D,5615,0.00562739%
A-B-E,5690,0.00570256%
A-B-F,5757,0.00576971%
A-B-G,5657,0.00566949%
A-B-H,5643,0.00565546%
A-B-I,5715,0.00572761%
A-B-J,5792,0.00580478%
A-B-K,5631,0.00564343%
A-B-L,5816,0.00582884%
A-B-M,5802,0.00581481%
A-B-N,5803,0.00581581%
A-B-O,5707,0.0057196%
A-B-P,5466,0.00547807%
A-B-Q,5667,0.00567951%
A-B-R,5620,0.00563241%
A-B-S,5692,0.00570456%
A-B-T,5749,0.00576169%
A-B-U,5650,0.00566247%
A-B-V,5642,0.00565445%
A-B-W,5557,0.00556927%
A-B-X,5716,0.00572862%
A-B-Y,5758,0.00577071%
A-B-Z,5565,0.00557728%
A-C-A,5757,0.00576971%
A-C-B,5855,0.00586792%
A-C-C,5711,0.00572361%
A-C-D,5690,0.00570256%
A-C-E,5678,0.00569053%
A-C-F,5728,0.00574064%
A-C-G,5703,0.00571559%
A-C-H,5664,0.0056765%
A-C-I,5790,0.00580278%
A-C-J,5614,0.00562639%
A-C-K,5844,0.0058569%
A-C-L,5611,0.00562339%
A-C-M,5636,0.00564844%
A-C-N,5731,0.00574365%
A-C-O,5590,0.00560234%
A-C-P,5570,0.00558229%
A-C-Q,5651,0.00566347%
A-C-R,5599,0.00561136%
A-C-S,5749,0.00576169%
A-C-T,5670,0.00568252%
A-C-U,5717,0.00572962%
A-C-V,5765,0.00577773%
A-C-W,5756,0.00576871%
A-C-X,5604,0.00561637%
A-C-Y,5586,0.00559833%
A-C-Z,5719,0.00573162%
A-D-A,5619,0.0056314%
A-D-B,5629,0.00564142%
A-D-C,5487,0.00549911%
A-D-D,5664,0.0056765%
A-D-E,5584,0.00559633%
A-D-F,5608,0.00562038%
A-D-G,5709,0.0057216%
A-D-H,5638,0.00565044%
A-D-I,5720,0.00573263%
A-D-J,5844,0.0058569%
A-D-K,5783,0.00579576%
A-D-L,5654,0.00566648%
A-D-M,5698,0.00571058%
A-D-N,5599,0.00561136%
A-D-O,5729,0.00574165%
A-D-P,5567,0.00557929%
A-D-Q,5669,0.00568151%
A-D-R,5647,0.00565946%
A-D-S,5667,0.00567951%
A-D-T,5589,0.00560134%
A-D-U,5731,0.00574365%
A-D-V,5768,0.00578073%
A-D-W,5537,0.00554922%
A-D-X,5715,0.00572761%
A-D-Y,5701,0.00571358%
A-D-Z,5734,0.00574666%
A-E-A,5619,0.0056314%
A-E-B,5754,0.0057667%
A-E-C,5697,0.00570957%
A-E-D,5594,0.00560635%
A-E-E,5611,0.00562339%
A-E-F,5681,0.00569354%
A-E-G,5698,0.00571058%
A-E-H,5673,0.00568552%
A-E-I,5735,0.00574766%
A-E-J,5681,0.00569354%
A-E-K,5740,0.00575267%
A-E-L,5690,0.00570256%
A-E-M,5708,0.0057206%
A-E-N,5781,0.00579376%
A-E-O,5587,0.00559933%
A-E-P,5652,0.00566448%
A-E-Q,5632,0.00564443%
A-E-R,5601,0.00561336%
A-E-S,5759,0.00577171%
